"","group","indval","pvalue","freq"
"CEIN",1,0.873535834822315,1e-04,35
"TODI",1,0.606503659684182,0.046,44
"RIRO",1,0.52539102873286,0.0033,21
"MECA",1,0.504658385093168,0.0124,19
"MAGR",1,0.502477493195617,2e-04,13
"RULE",1,0.442074560204175,0.0317,19
"ELGL",1,0.413170607678617,0.0129,18
"CASC",1,0.350945603431468,0.0145,11
"SOPA",1,0.307422046552481,0.0086,9
"FEMI",1,0.304347826086957,0.003,7
"BRSE",1,0.217391304347826,0.0178,5
"DAPU",1,0.217391304347826,0.0201,5
"PSME",2,0.907829104315767,1e-04,40
"ANMAD",2,0.484731182795699,0.0047,18
"POIM",2,0.4025,0.0451,21
"ADBI",2,0.28,0.0089,7
"ACTR",2,0.24236559139785,0.0422,8
