"","species","occ1","occ2","occ3","total_occ"
"1","AMRO",18.5185185185185,28.5714285714286,43.9024390243902,35
"2","BHGR",77.7777777777778,78.5714285714286,68.2926829268293,82
"3","BRCR",11.1111111111111,40.4761904761905,36.5853658536585,35
"4","BTYW.HEWA",55.5555555555556,69.0476190476191,73.1707317073171,74
"5","BUSH",18.5185185185185,14.2857142857143,0,11
"6","CASJ",3.7037037037037,11.9047619047619,0,6
"7","CAVI",48.1481481481481,59.5238095238095,63.4146341463415,64
"8","CBCH",7.40740740740741,23.8095238095238,39.0243902439024,28
"9","DEJU",18.5185185185185,42.8571428571429,56.0975609756098,46
"10","HAFL",3.7037037037037,14.2857142857143,2.4390243902439,8
"11","HAWO",37.037037037037,35.7142857142857,29.2682926829268,37
"12","HETH",3.7037037037037,9.52380952380952,14.6341463414634,11
"13","HOWR",29.6296296296296,14.2857142857143,4.8780487804878,16
"14","HUVI",11.1111111111111,23.8095238095238,39.0243902439024,29
"15","LAZB",66.6666666666667,47.6190476190476,0,38
"16","LEGO",22.2222222222222,4.76190476190476,2.4390243902439,9
"17","MGWA",37.037037037037,33.3333333333333,9.75609756097561,28
"18","MOUQ",7.40740740740741,19.047619047619,0,10
"19","NAWA",62.962962962963,66.6666666666667,31.7073170731707,58
"20","NOFL",44.4444444444444,47.6190476190476,9.75609756097561,36
"21","PAWR",0,4.76190476190476,9.75609756097561,6
"22","PSFL",22.2222222222222,28.5714285714286,41.4634146341463,35
"23","PUFI",25.9259259259259,21.4285714285714,9.75609756097561,20
"24","RBNU",14.8148148148148,57.1428571428571,43.9024390243902,46
"25","RBSA",3.7037037037037,26.1904761904762,17.0731707317073,19
"26","SPTO",92.5925925925926,80.9523809523809,43.9024390243902,77
"27","STJA",62.962962962963,80.9523809523809,80.4878048780488,84
"28","TOSO",3.7037037037037,19.047619047619,4.8780487804878,11
"29","WAVI",14.8148148148148,7.14285714285714,14.6341463414634,13
"30","WETA",59.2592592592593,80.9523809523809,73.1707317073171,80
"31","WEWP",48.1481481481481,30.952380952381,4.8780487804878,28
"32","WREN",22.2222222222222,19.047619047619,0,14
"33","XXHU",29.6296296296296,14.2857142857143,0,14
